thread,duration,value
0,4046,-0.666667
1,5095,-0.666667
2,2467,-0.666667
3,1627,-0.666667
4,1279,-0.666667
5,1012,-0.666667
6,873,-0.666667
7,791,-0.666667
8,754,-0.666667
9,811,-0.666667
10,686,-0.666667
11,543,-0.666667
12,492,-0.666667
13,421,-0.666667
14,379,-0.666667
15,399,-0.666667
16,345,-0.666667
17,317,-0.666667
18,316,-0.666667
19,298,-0.666667
20,357,-0.666667
21,325,-0.666667
22,289,-0.666667
23,259,-0.666667
24,283,-0.666667
25,286,-0.666667
26,307,-0.666667
27,256,-0.666667
28,278,-0.666667
29,286,-0.666667
30,284,-0.666667
31,279,-0.666667
32,279,-0.666667
33,265,-0.666667
34,254,-0.666667
35,243,-0.666667
36,241,-0.666667
37,238,-0.666667
38,235,-0.666667
39,217,-0.666667
40,212,-0.666667
41,207,-0.666667
42,212,-0.666667
43,203,-0.666667
44,212,-0.666667
45,195,-0.666667
46,198,-0.666667
47,201,-0.666667
48,202,-0.666667
49,175,-0.666667
50,184,-0.666667
51,183,-0.666667
52,230,-0.666667
53,247,-0.666667
54,201,-0.666667
55,199,-0.666667
56,203,-0.666667